index,align_timestamp
116,"[5413.0024 5413.102  5413.202  5413.3022 5413.4023 5413.5024 5413.602
 5413.702  5413.8022 5413.9023 5414.0024 5414.102  5414.202  5414.3022
 5414.4023 5414.5024]"
117,"[5413.102  5413.202  5413.3022 5413.4023 5413.5024 5413.602  5413.702
 5413.8022 5413.9023 5414.0024 5414.102  5414.202  5414.3022 5414.4023
 5414.5024 5414.602 ]"
118,"[5413.202  5413.3022 5413.4023 5413.5024 5413.602  5413.702  5413.8022
 5413.9023 5414.0024 5414.102  5414.202  5414.3022 5414.4023 5414.5024
 5414.602  5414.702 ]"
119,"[5413.3022 5413.4023 5413.5024 5413.602  5413.702  5413.8022 5413.9023
 5414.0024 5414.102  5414.202  5414.3022 5414.4023 5414.5024 5414.602
 5414.702  5414.8022]"
120,"[5413.4023 5413.5024 5413.602  5413.702  5413.8022 5413.9023 5414.0024
 5414.102  5414.202  5414.3022 5414.4023 5414.5024 5414.602  5414.702
 5414.8022 5414.9023]"
121,"[5413.5024 5413.602  5413.702  5413.8022 5413.9023 5414.0024 5414.102
 5414.202  5414.3022 5414.4023 5414.5024 5414.602  5414.702  5414.8022
 5414.9023 5415.0024]"
122,"[5413.602  5413.702  5413.8022 5413.9023 5414.0024 5414.102  5414.202
 5414.3022 5414.4023 5414.5024 5414.602  5414.702  5414.8022 5414.9023
 5415.0024 5415.102 ]"
123,"[5413.702  5413.8022 5413.9023 5414.0024 5414.102  5414.202  5414.3022
 5414.4023 5414.5024 5414.602  5414.702  5414.8022 5414.9023 5415.0024
 5415.102  5415.202 ]"
124,"[5413.8022 5413.9023 5414.0024 5414.102  5414.202  5414.3022 5414.4023
 5414.5024 5414.602  5414.702  5414.8022 5414.9023 5415.0024 5415.102
 5415.202  5415.3022]"
125,"[5413.9023 5414.0024 5414.102  5414.202  5414.3022 5414.4023 5414.5024
 5414.602  5414.702  5414.8022 5414.9023 5415.0024 5415.102  5415.202
 5415.3022 5415.4023]"
126,"[5414.0024 5414.102  5414.202  5414.3022 5414.4023 5414.5024 5414.602
 5414.702  5414.8022 5414.9023 5415.0024 5415.102  5415.202  5415.3022
 5415.4023 5415.5024]"
127,"[5414.102  5414.202  5414.3022 5414.4023 5414.5024 5414.602  5414.702
 5414.8022 5414.9023 5415.0024 5415.102  5415.202  5415.3022 5415.4023
 5415.5024 5415.602 ]"
128,"[5414.202  5414.3022 5414.4023 5414.5024 5414.602  5414.702  5414.8022
 5414.9023 5415.0024 5415.102  5415.202  5415.3022 5415.4023 5415.5024
 5415.602  5415.702 ]"
129,"[5414.3022 5414.4023 5414.5024 5414.602  5414.702  5414.8022 5414.9023
 5415.0024 5415.102  5415.202  5415.3022 5415.4023 5415.5024 5415.602
 5415.702  5415.8022]"
