index,align_timestamp,robot_timestamp,capture_time
332,5467.837437332,5467.835153618,5453865.0
333,5467.870887988,5467.870676611,5453898.0
334,5467.906956747,5467.906163766,5453932.0
335,5467.942916181,5467.941605587,5453965.0
336,5467.973371756,5467.972045242,5453998.0
337,5468.006551673,5468.002735658,5454031.0
338,5468.040156369,5468.038193599,5454064.0
339,5468.072410015,5468.068868596,5454098.0
340,5468.106522546,5468.104369407,5454131.0
341,5468.139537954,5468.134897138,5454164.0
342,5468.172601773,5468.170379044,5454197.0
343,5468.204376148,5468.200731545,5454231.0
344,5468.237130775,5468.236417304,5454264.0
345,5468.27014965,5468.266837823,5454297.0
346,5468.305026157,5468.302249356,5454330.0
347,5468.337317544,5468.332642413,5454364.0
348,5468.371202166,5468.368153113,5454397.0
349,5468.404143415,5468.40387504,5454430.0
350,5468.437499063,5468.434383815,5454463.0
351,5468.469894244,5468.46484994,5454496.0
352,5468.504165464,5468.500434489,5454530.0
353,5468.536294315,5468.536216398,5454563.0
354,5468.56887204,5468.566649521,5454596.0
355,5468.603177874,5468.602155913,5454629.0
356,5468.636617189,5468.6325542,5454663.0
357,5468.669174276,5468.668110045,5454696.0
358,5468.703748555,5468.698763692,5454729.0
359,5468.735631964,5468.734367387,5454762.0
360,5468.76939043,5468.76491777,5454796.0
361,5468.80209857,5468.800562081,5454829.0
362,5468.835924662,5468.831076116,5454862.0
363,5468.869191243,5468.866618004,5454895.0
364,5468.902670152,5468.902139194,5454929.0
365,5468.935293122,5468.932432864,5454962.0
366,5468.968949706,5468.967922735,5454995.0
367,5469.002373943,5469.000859375,5455028.0
368,5469.035436449,5469.034425528,5455061.0
369,5469.06872435,5469.064965913,5455095.0
370,5469.102661901,5469.100466283,5455128.0
371,5469.135176067,5469.131020383,5455161.0
372,5469.168914955,5469.16658275,5455194.0
373,5469.200862095,5469.196771113,5455228.0
374,5469.23501413,5469.232347807,5455261.0
375,5469.266921775,5469.262750302,5455294.0
376,5469.301439137,5469.298245352,5455327.0
377,5469.333883141,5469.32887274,5455361.0
378,5469.36777668,5469.364526409,5455394.0
379,5469.400591401,5469.399950696,5455427.0
380,5469.434231043,5469.430478747,5455460.0
381,5469.466866206,5469.465973557,5455494.0
382,5469.50124644,5469.496466232,5455527.0
383,5469.533242571,5469.532309888,5455560.0
384,5469.567220349,5469.562512146,5455593.0
385,5469.599972833,5469.598204227,5455626.0
386,5469.633889716,5469.628868054,5455660.0
387,5469.666172797,5469.664992628,5455693.0
388,5469.699873664,5469.695488278,5455726.0
389,5469.73284039,5469.731029164,5455759.0
390,5469.767126016,5469.76653778,5455793.0
391,5469.799184405,5469.796952939,5455826.0
392,5469.833875384,5469.832438792,5455859.0
393,5469.86561377,5469.862965661,5455892.0
394,5469.900786485,5469.898451124,5455926.0
395,5469.931947135,5469.929119198,5455959.0
396,5469.966053865,5469.964967072,5455992.0
397,5469.998376832,5469.99537115,5456025.0
398,5470.032285289,5470.030938266,5456058.0
